OID,Name,Re-Calc,Unit Label,WARN,CRIT,Show in 1st Line,Report Change as
SNMPv2-MIB::sysName.0,Name,,,,,,WARN
SNMPv2-MIB::sysLocation.0,Location,,,,,,WARN
SNMPv2-MIB::sysContact.0,Contact,,,,,,WARN
SNMPv2-MIB::sysDescr.0,Description,,,,,,WARN
DISMAN-EVENT-MIB::sysUpTimeInstance,Uptime,int(value) / 100,s,value > 4*365*24*3600,value > 5*365*24*3600,True,
,,,,,,,
HOST-RESOURCES-MIB::hrMemorySize.0,Memory Size,int(value) * 1024,b,,,,
,,,,,,,
IF-MIB::ifSpeed.5,NIC.LAN0 Speed,int(value),bps,,,,
IF-MIB::ifOperStatus.5,NIC.LAN0 Status,,,,,,WARN
IF-MIB::ifOutOctets.5,NIC.LAN0 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.5,NIC.LAN0 Traffic received,int(value),"b,c",,,,
IF-MIB::ifSpeed.6,NIC.LAN1 Speed,int(value),bps,,,,
IF-MIB::ifOperStatus.6,NIC.LAN1 Status,,,,,,WARN
IF-MIB::ifOutOctets.6,NIC.LAN1 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.6,NIC.LAN1 Traffic received,int(value),"b,c",,,,
IF-MIB::ifSpeed.7,NIC.LAN2 Speed,int(value),bps,,,,
IF-MIB::ifOperStatus.7,NIC.LAN2 Status,,,,,,WARN
IF-MIB::ifOutOctets.7,NIC.LAN2 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.7,NIC.LAN2 Traffic received,int(value),"b,c",,,,
IF-MIB::ifSpeed.8,NIC.LAN3 Speed,int(value),bps,,,,
IF-MIB::ifOperStatus.8,NIC.LAN3 Status,,,,,,WARN
IF-MIB::ifOutOctets.8,NIC.LAN3 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.8,NIC.LAN3 Traffic received,int(value),"b,c",,,,
IF-MIB::ifSpeed.9,NIC.LAN4 Speed,int(value),bps,,,,
IF-MIB::ifOperStatus.9,NIC.LAN4 Status,,,,,,WARN
IF-MIB::ifOutOctets.9,NIC.LAN4 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.9,NIC.LAN4 Traffic received,int(value),"b,c",,,,
,,,,,,,
IF-MIB::ifOperStatus.3,NIC.SFP Status,,,,,,WARN
IF-MIB::ifOutOctets.3,NIC.SFP Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.3,NIC.SFP Traffic received,int(value),"b,c",,,,
IF-MIB::ifOperStatus.4,NIC.WAN Status,,,,,,WARN
IF-MIB::ifOutOctets.4,NIC.WAN Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.4,NIC.WAN Traffic received,int(value),"b,c",,,,
,,,,,,,
IF-MIB::ifOperStatus.27,NIC.WLAN0 Status,,,,,,WARN
IF-MIB::ifOutOctets.27,NIC.WLAN0 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.27,NIC.WLAN0 Traffic received,int(value),"b,c",,,,
IF-MIB::ifOperStatus.28,NIC.WLAN1 Status,,,,,,WARN
IF-MIB::ifOutOctets.28,NIC.WLAN1 Traffic sent,int(value),"b,c",,,,
IF-MIB::ifInOctets.28,NIC.WLAN1 Traffic received,int(value),"b,c",,,,
