OID,Name,Re-Calc,Unit Label,WARN,CRIT,Show in 1st Line,Report Change as
SNMPv2-MIB::sysName.0,Name,,,,,,
SNMPv2-MIB::sysLocation.0,Location,,,,,,
SNMPv2-MIB::sysContact.0,Contact,,,,,,
ENTITY-MIB::entPhysicalDescr.1000,Model,,,,,,
SNMPv2-MIB::sysDescr.0,Description,,,,,,
CISCO-ENTITY-FRU-CONTROL-MIB::cefcModuleOperStatus.1000,C9500-40X,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFRUPowerOperStatus.1016,Power Supply A,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFRUPowerOperStatus.1017,Power Supply B,,,,,True,WARN
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1013,Inlet Temp Sensor,, °C,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1013,Inlet Temp Sensor Status,,,,,True,WARN
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1014,Outlet Temp Sensor,, °C,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1014,Outlet Temp Sensor Status,,,,,True,WARN
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1015,HotSpot Temp Sensor,, °C,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1015,HotSpot Temp Sensor Status,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFanTrayOperStatus.1018,FAN-1 Status,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFanTrayOperStatus.1019,FAN-2 Status,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFanTrayOperStatus.1020,FAN-3 Status,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFanTrayOperStatus.1021,FAN-4 Status,,,,,True,WARN
CISCO-ENTITY-FRU-CONTROL-MIB::cefcFanTrayOperStatus.1022,FAN-5 Status,,,,,True,WARN
ENTITY-MIB::entPhysicalName.1103,PhysicalName_Te1/0/2,,,,,,
ENTITY-MIB::entPhysicalModelName.1103,ModelName_Te1/0/2,,,,,,
ENTITY-MIB::entPhysicalVendorType.1103,Vendor_Te1/0/2,,,,,,
ENTITY-MIB::entPhysicalSerialNum.1103,SNr._Te1/0/2,,,,,,
IF-MIB::ifAlias.10,Interface Description,,,,,,
IF-MIB::ifSpeed.10,Te1/0/2 Speed,int(value),bps,,,,
IF-MIB::ifOutOctets.10,Te1/0/2 TX,int(value),"b,c",,,,
IF-MIB::ifInOctets.10,Te1/0/2 RX,int(value),"b,c",,,,
,Te1/0/2 Traffic,values['Te1/0/2 TX'] + values['Te1/0/2 RX'],"b,c",,,,
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1104,Te1/0/2 Module Temperature Sensor,, °C,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1104,Te1/0/2 Module Temperature Sensor Status,,,,,True,WARN
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1105,Te1/0/2 Supply Voltage Sensor,int(value)*10, mV DC,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1105,Te1/0/2 Supply Voltage Sensor Status,,,,,True,WARN
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1106,Te1/0/2 Bias Current Sensor,float(value)/10, mA,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1106,Te1/0/2 Bias Current Sensor Status,,,,,True,WARN
CISCO-ENTITY-SENSOR-MIB::entSensorValue.1107,Te1/0/2 Transmit Power Sensor,float(value)/10, dBm,,,,
CISCO-ENTITY-SENSOR-MIB::entSensorStatus.1107,Te1/0/2 Transmit Power Sensor Status,,,,,True,WARN
IF-MIB::ifAlias.13,Interface Description,,,,,,
IF-MIB::ifAlias.14,Interface Description,,,,,,
IF-MIB::ifAlias.15,Interface Description,,,,,,
IF-MIB::ifAlias.16,Interface Description,,,,,,
IF-MIB::ifAlias.17,Interface Description,,,,,,
IF-MIB::ifAlias.18,Interface Description,,,,,,
IF-MIB::ifAlias.19,Interface Description,,,,,,
IF-MIB::ifAlias.39,Interface Description,,,,,,
IF-MIB::ifAlias.40,Interface Description,,,,,,
IF-MIB::ifAlias.41,Interface Description,,,,,,
IF-MIB::ifAlias.42,Interface Description,,,,,,
IF-MIB::ifAlias.43,Interface Description,,,,,,
IF-MIB::ifAlias.44,Interface Description,,,,,,
IF-MIB::ifAlias.45,Interface Description,,,,,,
IF-MIB::ifAlias.46,Interface Description,,,,,,
IF-MIB::ifAlias.47,Interface Description,,,,,,
IF-MIB::ifAlias.48,Interface Description,,,,,,
IF-MIB::ifAlias.63,Interface Description,,,,,,
IF-MIB::ifAlias.64,Interface Description,,,,,,
IF-MIB::ifAlias.78,Interface Description,,,,,,
